Date,month,GDP_Construction_Rs_Crs,GDP_Real Estate_Rs_Crs,Oveall_GDP_Growth%,water_source,limestone,Coal(in metric tones),Home_Interest_Rate,Trasportation_Cost,order_quantity_milliontonne,Sales,unit_price,Total_Price
1/1/2015,1,214180,481401,7.5,178.06,169.76,45.54,10.15,322.07,4.798,4.598,350.23,1610.35754
2/1/2015,2,214180,481401,8,169.09,238.44,46.66,10,316.92,4.318,4.308,350.31,1509.13548
3/1/2015,3,214180,481401,8.5,170.73,176.68,33.45,9.1,286.48,3.719,3.659,355.89,1302.20151
4/1/2015,4,218253,594978,8.6,266.73,234.24,38.66,10.2,286.29,3.583,3.51,354.63,1244.7513
5/1/2015,5,218253,594978,8.5,243.53,220.01,28.99,9.9,300.3,3.581,3.541,353.36,1251.24776
6/1/2015,6,218253,594978,8.1,296.44,145.35,33.33,10.35,361.65,3.989,3.976,363.83,1446.58808
7/1/2015,7,205790,669973,6.3,196.79,169.82,12.33,10.75,253.55,3.039,3.021,399.67,1207.40307
8/1/2015,8,205790,669973,5.5,186.68,111.54,21.33,10.75,248.88,3.159,3.148,359.36,1131.26528
9/1/2015,9,205790,669973,5.9,126.41,155.58,23.22,10.75,279.4,3.208,3.158,384.67,1214.78786
10/1/2015,10,216449,506288,6.9,123.92,125.86,24.33,10.75,272.98,3.297,3.21,354.33,1137.3993
11/1/2015,11,216449,506288,7.1,175.43,124.66,48.22,10.15,385,4.161,4.127,373.15,1539.99005
12/1/2015,12,216449,506288,7.3,209.97,110.88,42.12,9.75,352.15,4.499,4.439,377.77,1676.92103
1/1/2016,1,224843,523546,7.6,196.35,106.65,46.88,9.45,512.91,5.916,5.856,398.12,2331.39072
2/1/2016,2,224843,523546,7.8,237.7,168.8,57.88,9.2,438.68,4.986,4.876,391.16,1907.29616
3/1/2016,3,224843,523546,7.4,212.48,113.86,32.77,9.1,357.14,3.905,3.865,385.02,1488.1023
4/1/2016,4,234541,675149,7.6,227.36,242.34,36.77,9.05,360.21,3.902,3.872,372.12,1440.84864
5/1/2016,5,234541,675149,7.9,152.07,128.46,31.92,9,326.95,4.101,4.051,384.33,1556.92083
6/1/2016,6,234541,675149,8.5,194.53,156.97,39.11,9,332.14,4.181,4.131,365.46,1509.71526
7/1/2016,7,222844,745019,6.8,115.59,148.59,26.34,9,314.5,3.597,3.527,387.69,1367.38263
8/1/2016,8,222844,745019,7.3,232.33,100.75,23.22,8.95,315.91,3.397,3.347,393.27,1316.27469
9/1/2016,9,222844,745019,7.5,220.04,191.27,25.34,8.95,316.51,3.418,3.408,371.49,1266.03792
10/1/2016,10,232427,532370,9.2,165.85,189.6,28.99,8.9,275.88,3.531,3.491,376.32,1313.73312
11/1/2016,11,232427,532370,9.5,106.49,205.54,59.77,8.75,392.27,4.608,4.588,388.63,1783.03444
12/1/2016,12,232427,532370,8.6,164.76,189.42,40.33,8.75,437.55,5.176,5.126,371.13,1902.41238
1/1/2017,1,226632,540429,9.1,145.23,202.07,67.88,7.85,518.53,5.655,5.615,384.78,2160.5397
2/1/2017,2,226632,540429,8.9,152,203.2,55.77,7.85,443.78,4.755,4.715,376.48,1775.1032
3/1/2017,3,226632,540429,8.1,256.68,205.47,34.77,7.85,305.09,4.129,4.121,352.54,1452.81734
4/1/2017,4,235401,694096,9.5,282.16,178.7,40.66,7.85,342.3,3.981,3.978,391.13,1555.91514
5/1/2017,5,235401,694096,9.9,240.03,141.04,44.99,7.85,340.54,3.988,3.981,371.92,1480.61352
6/1/2017,6,235401,694096,9.7,248.76,170.67,42.33,7.85,371.04,4.311,4.302,359.37,1546.00974
7/1/2017,7,226647,740833,7.1,222.09,133.08,27.66,7.85,341.74,3.435,3.428,398.76,1366.94928
8/1/2017,8,226647,740833,6.2,278.36,137.4,22.44,7.85,281.58,3.412,3.401,394.26,1340.87826
9/1/2017,9,226647,740833,6.8,208.35,112.53,15.66,7.85,280.55,3.337,3.299,386.55,1275.22845
10/1/2017,10,243991,694096,5.9,181.85,220.96,20.77,7.85,300.85,3.561,3.552,368.25,1308.024
11/1/2017,11,243991,694096,6.8,218.09,244.23,63.66,7.8,409.54,4.321,4.316,395.37,1706.41692
12/1/2017,12,243991,694096,6.2,144.71,226.66,60.44,7.8,497.58,5.291,5.286,376.53,1990.33758
1/1/2018,1,258266,740833,6.4,117.12,175.94,70.66,7.8,500.87,6.997,6.989,358.33,2504.36837
2/1/2018,2,258266,740833,5.3,267.83,135.21,66.88,7.8,412.95,5.686,5.678,363.64,2064.74792
3/1/2018,3,258266,740833,5.7,161.93,145.62,47.77,7.8,342.23,4.721,4.715,362.92,1711.1678
4/1/2018,4,251354,550115,6.8,260.51,140.52,63.33,7.8,302.09,4.195,4.189,360.57,1510.42773
5/1/2018,5,251354,550115,6.3,227.16,153.29,55.88,7.8,336.67,4.471,4.465,377.01,1683.34965
6/1/2018,6,251354,550115,6.4,245.67,216.59,56.99,7.9,398.37,5.323,5.316,374.69,1991.85204
7/1/2018,7,239219,552146,6.8,201.5,235.12,24.66,7.9,275.83,3.799,3.791,363.8,1379.1658
8/1/2018,8,239219,552146,7.4,190.63,154.91,25.77,7.9,281.92,3.803,3.799,371.04,1409.58096
